date,storage,inflow,outflow,evaporation,elevation
1962-06-26,NA,NA,NA,NA,1743.456
1962-06-27,NA,NA,NA,NA,1750.771
1962-06-28,NA,NA,NA,NA,1757.324
1962-06-29,NA,NA,NA,NA,1758.025
1962-06-30,NA,NA,NA,NA,1760.098
1962-07-01,5.181,NA,NA,NA,1762.049
1962-07-02,8.634,50.538,10.449,NA,1763.268
1962-07-03,11.829,48.854,11.751,NA,1764.396
1962-07-04,14.881,48.166,12.714,NA,1765.31
1962-07-05,18.058,50.447,13.535,NA,1766.164
1962-07-06,20.214,39.171,14.073,NA,1766.743
1962-07-07,22.597,42.402,14.668,NA,1767.383
1962-07-08,24.64,38.916,15.121,NA,1767.931
1962-07-09,26.002,31.355,15.433,NA,1768.297
1962-07-10,27.477,33.007,15.772,NA,1768.693
1962-07-11,28.499,27.99,15.999,NA,1768.968
1962-07-12,29.179,24.183,16.141,NA,1769.151
1962-07-13,29.52,20.309,16.197,NA,1769.242
1962-07-14,29.974,21.732,16.31,NA,1769.364
1962-07-15,30.697,24.97,16.424,NA,1769.516
1962-07-16,30.987,20.005,16.48,NA,1769.577
1962-07-17,31.131,18.319,16.48,NA,1769.608
1962-07-18,31.131,16.649,16.48,NA,1769.608
1962-07-19,31.131,16.648,16.48,NA,1769.608
1962-07-20,30.987,14.977,16.48,NA,1769.577
1962-07-21,30.842,14.941,16.452,NA,1769.547
1962-07-22,30.552,13.205,16.395,NA,1769.486
1962-07-23,30.263,13.155,16.339,NA,1769.425
1962-07-24,29.974,13.116,16.31,NA,1769.364
1962-07-25,29.974,16.468,16.31,NA,1769.364
1962-07-26,30.263,19.848,16.339,NA,1769.425
1962-07-27,30.263,16.495,16.339,NA,1769.425
1962-07-28,30.407,18.191,16.367,NA,1769.455
1962-07-29,30.407,16.521,16.367,NA,1769.455
1962-07-30,30.407,16.519,16.367,NA,1769.455
1962-07-31,30.263,14.821,16.339,NA,1769.425
1962-08-01,29.974,13.107,16.31,NA,1769.364
1962-08-02,29.86,15.116,16.282,NA,1769.334
1962-08-03,29.633,13.751,16.226,NA,1769.273
1962-08-04,29.293,12.371,16.169,NA,1769.181
1962-08-05,28.952,12.291,16.084,NA,1769.09
1962-08-06,28.499,10.861,15.971,NA,1768.968
